model,N,expected_matching_density,last_acceptance_probability
young,100,0.36333903007471674,0.3624113853725478
young,500,0.362453432170992,0.3621710608151588
young,1000,0.3623028462656428,0.36214045666940764
young,5000,0.36215823630918714,0.3621158571561043
young,10000,0.3621361005745939,0.36211277396843544
young,20000,0.3621239639719258,0.36211123159203484
old,100,0.28757122156444814,0.2871147214633421
old,500,0.28720321268500315,0.2871073860186493
old,1000,0.287155282422904,0.2871074158845929
old,5000,0.28711703739345734,0.28710747208590914
old,10000,0.2871122536249435,0.287107469019268
old,20000,0.28710986125797333,0.28710746886795463
