N,a,b,backward_exact,forward_exact
1,3/20,9/20,0,0
2,3/20,9/20,1,1
3,3/20,9/20,1,1
4,3/20,9/20,6/5,6/5
5,3/20,9/20,10/7,10/7
6,3/20,9/20,5/3,5/3
7,3/20,9/20,21/11,21/11
8,3/20,9/20,28/13,28/13
9,3/20,9/20,12/5,12/5
10,3/20,9/20,45/17,45/17
11,3/20,9/20,55/19,55/19
12,3/20,9/20,22/7,22/7
13,3/20,9/20,78/23,78/23
14,3/20,9/20,2442148354/643537125,2442148354/643537125
15,3/20,9/20,565516813/139864725,565516813/139864725
16,3/20,9/20,41753656913/9704539845,41753656913/9704539845
17,3/20,9/20,1369155503206/300840735195,1369155503206/300840735195
18,3/20,9/20,228437000746/47501168715,228437000746/47501168715
19,3/20,9/20,14524117699381/2871661563225,14524117699381/2871661563225
20,3/20,9/20,1249952438720101/233753251246515,1249952438720101/233753251246515
21,3/20,9/20,255157444818278441/45581883993070425,255157444818278441/45581883993070425
22,3/20,9/20,40026326621178904/6845630929362225,40026326621178904/6845630929362225
23,3/20,9/20,1797363095409719378/294362129962575675,1797363095409719378/294362129962575675
24,3/20,9/20,16836163426723954799/2649259169663181075,16836163426723954799/2649259169663181075
25,3/20,9/20,478024771156705319/72283281652252125,478024771156705319/72283281652252125
26,3/20,9/20,930396571950345417562/135583197060762355905,930396571950345417562/135583197060762355905
27,3/20,9/20,2160341737392423868562/302394010937268811275,2160341737392423868562/302394010937268811275
28,3/20,9/20,84162938086643193959296/11381409368175175404075,84162938086643193959296/11381409368175175404075
29,3/20,9/20,2248605688660505548431169/293826180627379528288875,2248605688660505548431169/293826180627379528288875
30,3/20,9/20,4015981357140443910507451/508146453555585772452525,4015981357140443910507451/508146453555585772452525
31,3/20,9/20,20640328759471996825941916/2531698553048051781863469,20640328759471996825941916/2531698553048051781863469
32,3/20,9/20,32472920421649016980490963516/3860840293398278967341790225,32472920421649016980490963516/3860840293398278967341790225
33,3/20,9/20,343238818368759695715243829/39633850168501152834044775,343238818368759695715243829/39633850168501152834044775
34,3/20,9/20,15024708551789366836377938507/1681035725833700411617717275,15024708551789366836377938507/1681035725833700411617717275
35,3/20,9/20,206982059905240414272392621107/22525878726171585515677411485,206982059905240414272392621107/22525878726171585515677411485
36,3/20,9/20,31462998854565383066338110845542/3330612068798227286960874412425,31462998854565383066338110845542/3330612068798227286960874412425
37,3/20,9/20,764377965939989402292354496097432/78824485628224712458074027760725,764377965939989402292354496097432/78824485628224712458074027760725
38,3/20,9/20,47379300580878387594154784084687/4759460257121922257600830460325,47379300580878387594154784084687/4759460257121922257600830460325
39,3/20,9/20,1468056333677997294088705401900728957/143854686271510100235985100663323125,1468056333677997294088705401900728957/143854686271510100235985100663323125
40,3/20,9/20,595182737074234876085189965783514171/56804158168750142144465911543978875,595182737074234876085189965783514171/56804158168750142144465911543978875
1,1/3,2/3,0,0
2,1/3,2/3,1,1
3,1/3,2/3,1,1
4,1/3,2/3,6/5,6/5
5,1/3,2/3,10/7,10/7
6,1/3,2/3,536/315,536/315
7,1/3,2/3,1387/693,1387/693
8,1/3,2/3,7751/3465,7751/3465
9,1/3,2/3,1646929/675675,1646929/675675
10,1/3,2/3,3505714/1276275,3505714/1276275
11,1/3,2/3,43461172/14549535,43461172/14549535
12,1/3,2/3,581917156/183324141,581917156/183324141
13,1/3,2/3,1065335897/305540235,1065335897/305540235
14,1/3,2/3,218408819861/58561878375,218408819861/58561878375
15,1/3,2/3,529856414677/135528918525,529856414677/135528918525
